type,actual,prediction,weight,Breast,Colorectum,Upper GI,Liver,Lung,Ovary,Pancreas
NOM:,3,3,1,1.19E-05,4.72E-04,5.96E-04,0.874417921,0.124379339,6.07E-06,1.17E-04
NOM:,3,3,1,8.03E-07,7.93E-06,1.39E-06,0.999984169,5.66E-08,3.93E-09,5.65E-06
NOM:,1,1,1,6.84E-04,0.912812236,0.016519524,0.002279794,2.31E-04,3.46E-04,0.067126542
NOM:,1,1,1,1.15E-06,0.999995633,1.59E-06,2.60E-07,8.13E-07,4.26E-07,1.25E-07
NOM:,1,1,1,1.47E-04,0.841203175,0.051198561,0.107010766,1.78E-04,2.60E-05,2.36E-04
NOM:,1,1,1,0.053301524,0.766064464,0.059651022,0.120774011,7.27E-06,4.73E-05,1.54E-04
NOM:,1,2,1,6.35E-07,0.058503639,0.939276357,0.002214152,6.17E-08,7.62E-08,5.08E-06
NOM:,1,0,1,0.968827899,0.029445371,1.10E-04,4.34E-05,0.001572401,1.11E-06,4.94E-08
NOM:,1,2,1,0.065889627,0.111848268,0.804598307,0.016647626,8.10E-04,1.16E-04,8.99E-05
NOM:,1,1,1,2.47E-05,0.999809779,5.34E-06,1.13E-07,1.56E-04,3.33E-06,4.86E-07
NOM:,1,1,1,0.143668513,0.779559653,0.076670071,3.57E-05,1.12E-05,7.33E-07,5.41E-05
NOM:,1,1,1,0.03035205,0.952905482,0.003710078,0.013007098,2.44E-05,7.56E-07,1.23E-07
NOM:,1,1,1,0.004075201,0.756149468,0.238238597,5.82E-04,1.40E-04,6.67E-06,8.08E-04
NOM:,1,3,1,6.04E-04,0.108860582,0.211192849,0.678870621,1.70E-06,4.16E-06,4.66E-04
NOM:,1,2,1,2.53E-07,0.011930235,0.98785429,2.15E-04,6.38E-08,1.10E-08,4.52E-08
NOM:,1,1,1,2.19E-04,0.792511807,0.003173484,1.13E-04,0.001516268,1.38E-04,0.202329148
NOM:,1,2,1,1.12E-07,0.095597384,0.904375399,2.50E-05,1.71E-06,3.28E-08,3.69E-07
NOM:,1,4,1,1.53E-04,3.87E-04,2.05E-04,4.16E-07,0.995763685,5.31E-07,0.003490591
NOM:,1,1,1,2.79E-08,0.999998926,3.53E-08,6.57E-08,6.14E-07,3.17E-08,2.99E-07
NOM:,1,1,1,0.010778794,0.478946401,6.57E-07,1.46E-06,0.179388613,0.009715791,0.321168286
NOM:,1,1,1,0.107453001,0.892387337,6.47E-05,7.21E-06,5.26E-05,3.67E-06,3.15E-05
NOM:,1,1,1,0.001914482,0.948348402,0.04521348,0.004455811,6.50E-05,2.07E-06,7.15E-07
NOM:,1,2,1,7.13E-05,0.043308276,0.95196268,0.004657262,2.10E-07,7.28E-08,2.21E-07
NOM:,1,1,1,1.01E-06,0.999937969,1.56E-05,2.53E-05,9.45E-06,3.22E-07,1.04E-05
NOM:,1,4,1,0.42072677,0.005397146,4.87E-05,5.33E-05,0.571230687,0.002480202,6.31E-05
NOM:,1,1,1,0.00496401,0.969776809,0.002459638,0.002566213,0.019139939,5.62E-04,5.31E-04
NOM:,1,1,1,0.013262163,0.52934535,0.426435854,0.030949358,1.93E-06,1.23E-07,5.22E-06
NOM:,4,4,1,8.19E-05,0.025219882,3.36E-04,8.88E-05,0.936683401,0.00359255,0.033997699
NOM:,4,4,1,5.31E-06,0.004393084,1.51E-08,8.43E-07,0.995600687,3.61E-08,2.57E-08
NOM:,4,4,1,4.20E-05,8.37E-06,1.34E-04,9.05E-06,0.999801874,3.48E-06,1.64E-06
NOM:,4,4,1,0.008518235,0.003576905,6.91E-04,0.061852715,0.923859395,6.46E-04,8.56E-04
NOM:,4,4,1,3.08E-04,0.018104447,0.002558712,0.001903331,0.973458101,0.002874711,7.93E-04
NOM:,4,0,1,0.905954116,0.011642357,0.002334222,4.30E-04,0.060189753,0.010514158,0.008935786
NOM:,4,4,1,6.90E-04,1.80E-04,1.21E-04,5.34E-06,0.998254993,1.08E-05,7.38E-04
NOM:,4,4,1,8.95E-04,0.027989733,1.48E-04,0.001204796,0.899785886,7.24E-04,0.069252322
NOM:,4,4,1,6.07E-05,0.028663779,0.001629187,0.059725399,0.904477696,2.54E-06,0.005440658
NOM:,4,4,1,3.06E-04,0.01328855,1.70E-06,1.52E-04,0.986176108,7.45E-05,7.54E-07
NOM:,4,4,1,0.07483732,0.002126139,0.002488804,0.001238978,0.916186028,0.003016509,1.06E-04
NOM:,4,4,1,1.24E-04,2.61E-06,2.07E-04,1.00E-05,0.999383425,4.42E-05,2.29E-04
NOM:,4,4,1,0.001268391,2.44E-05,9.86E-04,1.01E-05,0.997710192,1.04E-06,1.87E-07
NOM:,4,0,1,0.518116349,0.0158018,0.169727036,0.165548303,0.082239358,0.005419492,0.043147663
NOM:,4,4,1,7.43E-04,0.001338994,2.92E-07,1.52E-05,0.997901074,4.68E-07,9.50E-07
NOM:,4,4,1,0.015393396,0.226747087,2.79E-06,2.71E-05,0.757585248,1.69E-04,7.53E-05
NOM:,4,4,1,2.69E-04,0.005894385,2.32E-05,1.31E-05,0.993576461,4.49E-05,1.79E-04
NOM:,4,4,1,9.00E-05,0.05278864,3.23E-06,0.003535554,0.943564664,1.45E-05,3.42E-06
NOM:,4,4,1,1.48E-04,0.031265693,7.89E-04,0.007873795,0.959735875,6.40E-06,1.81E-04
NOM:,4,4,1,1.85E-05,2.40E-05,1.22E-04,1.22E-04,0.999007656,6.02E-04,1.03E-04
NOM:,4,4,1,7.57E-04,0.013164295,0.015216894,0.001474411,0.951132306,7.24E-04,0.017530542
NOM:,4,4,1,7.43E-06,3.82E-04,2.86E-05,1.31E-04,0.999406354,1.63E-05,2.88E-05
NOM:,4,0,1,0.886909684,0.001001309,7.72E-04,1.40E-04,0.111173316,3.45E-06,1.62E-07
NOM:,4,4,1,0.045112716,0.004073316,0.006716125,0.001025696,0.94260819,4.45E-04,1.88E-05
NOM:,4,4,1,4.07E-06,5.42E-06,1.50E-04,1.28E-07,0.999609814,1.80E-05,2.13E-04
NOM:,5,5,1,8.93E-05,1.75E-06,1.09E-06,1.64E-05,1.30E-06,0.99988882,1.31E-06
NOM:,5,4,1,0.022247972,3.05E-04,7.14E-05,1.29E-05,0.930005055,0.047138388,2.19E-04
NOM:,5,5,1,4.45E-08,4.46E-08,4.46E-08,7.12E-07,6.02E-08,0.999999052,4.27E-08
NOM:,5,5,1,6.06E-09,5.76E-09,4.52E-09,4.88E-09,5.96E-09,0.999999962,1.11E-08
NOM:,5,5,1,7.46E-09,6.45E-09,5.83E-09,2.54E-09,9.41E-08,0.99999988,3.42E-09
NOM:,5,5,1,7.12E-05,1.13E-06,1.18E-05,5.05E-07,2.03E-04,0.999711522,4.47E-07
NOM:,5,5,1,3.91E-05,2.11E-06,4.38E-06,1.76E-05,9.17E-04,0.99901296,7.07E-06
NOM:,5,5,1,0.001829194,4.21E-05,3.42E-05,4.59E-06,0.068189929,0.92923152,6.68E-04
NOM:,5,5,1,2.65E-06,7.16E-08,3.62E-09,3.05E-08,8.12E-08,0.999997101,6.51E-08
NOM:,5,5,1,3.07E-07,1.43E-09,3.18E-10,3.09E-10,2.79E-08,0.999999661,1.29E-09
NOM:,5,5,1,1.04E-07,2.64E-08,1.21E-08,2.18E-08,2.91E-07,0.999999527,1.78E-08
NOM:,5,5,1,3.88E-08,2.01E-08,1.79E-08,2.40E-08,3.22E-08,0.999999839,2.76E-08
NOM:,5,5,1,4.18E-08,2.17E-08,7.26E-09,1.01E-08,7.50E-07,0.999999126,4.30E-08
NOM:,5,5,1,0.006627886,3.29E-04,2.19E-04,2.38E-04,1.41E-04,0.991432965,0.001013325
NOM:,5,5,1,0.001589616,6.97E-06,5.64E-06,1.19E-05,4.18E-04,0.99796688,1.20E-06
NOM:,5,5,1,6.39E-05,6.73E-07,2.96E-06,6.62E-07,3.96E-06,0.999927315,5.31E-07
NOM:,5,5,1,2.89E-08,3.06E-08,2.98E-08,3.56E-08,3.41E-08,0.999999808,3.34E-08
NOM:,5,5,1,0.394734239,2.12E-04,8.19E-07,3.62E-05,0.002417663,0.602593838,5.35E-06
NOM:,5,5,1,0.001903513,0.001289177,2.08E-05,6.53E-06,0.186072586,0.807154081,0.003553347
NOM:,5,5,1,8.50E-05,0.002177598,2.19E-05,2.01E-05,0.00287095,0.994751423,7.30E-05
NOM:,5,5,1,1.91E-07,7.25E-08,7.09E-08,7.00E-08,9.29E-08,0.999999427,7.60E-08
NOM:,5,5,1,1.53E-07,2.33E-08,1.30E-08,1.13E-07,1.21E-06,0.999998468,1.71E-08
NOM:,5,5,1,1.95E-06,1.66E-07,4.00E-08,5.63E-07,5.79E-06,0.999991351,1.36E-07
NOM:,5,5,1,1.47E-06,6.75E-07,1.48E-08,1.86E-07,3.04E-07,0.999997159,1.86E-07
NOM:,5,5,1,1.16E-07,7.26E-08,6.02E-08,7.47E-08,7.24E-08,0.999999543,6.10E-08
NOM:,0,0,1,0.701580547,0.296797288,0.001543312,6.04E-06,6.90E-05,2.18E-06,1.58E-06
NOM:,0,4,1,0.062094847,0.005466995,0.003698175,1.53E-06,0.928672829,3.23E-05,3.33E-05
NOM:,0,0,1,0.997523516,4.00E-04,9.74E-04,2.70E-04,9.28E-05,7.19E-04,2.07E-05
NOM:,0,0,1,0.828367236,0.161824015,0.003892135,0.001855159,0.00384084,1.93E-04,2.76E-05
NOM:,0,0,1,0.944851342,0.050807378,8.72E-05,3.00E-04,0.001970097,0.001964542,1.98E-05
NOM:,0,4,1,0.330116012,0.001134528,1.64E-04,9.10E-06,0.668304423,2.69E-04,2.92E-06
NOM:,0,0,1,0.964605124,0.031137394,5.97E-05,4.41E-05,0.004113756,2.74E-05,1.24E-05
NOM:,0,4,1,0.389599278,0.001454516,2.49E-05,2.72E-05,0.608508299,3.70E-04,1.59E-05
NOM:,0,0,1,0.999660503,1.01E-04,1.86E-05,5.68E-05,1.41E-04,1.44E-05,8.65E-06
NOM:,0,0,1,0.952971811,0.046146396,7.03E-04,3.94E-05,9.55E-05,3.03E-05,1.33E-05
NOM:,0,0,1,0.920877763,0.0023856,0.059679327,0.0169475,1.85E-06,1.02E-04,6.30E-06
NOM:,0,0,1,0.999013133,2.17E-04,3.45E-04,7.44E-06,4.14E-04,1.09E-06,1.44E-06
NOM:,0,0,1,0.997602988,1.75E-05,8.10E-07,2.04E-06,0.002300873,7.51E-05,6.73E-07
NOM:,0,0,1,0.902651806,0.005617711,0.004891505,0.086673115,2.87E-05,3.75E-06,1.33E-04
NOM:,0,0,1,0.804652767,6.81E-04,5.77E-05,1.97E-05,0.163817589,0.030561395,2.10E-04
NOM:,0,0,1,0.997125504,2.21E-04,0.001075496,0.001056043,5.06E-04,1.48E-05,6.82E-07
NOM:,0,0,1,0.629385995,0.358423452,0.008809409,0.002094456,9.59E-04,1.21E-04,2.07E-04
NOM:,0,0,1,0.997732148,0.001796877,2.50E-04,9.14E-07,2.19E-04,9.23E-07,2.65E-08
NOM:,0,0,1,0.578829256,0.013522884,0.001614541,1.69E-04,0.221010685,0.184767393,8.58E-05
NOM:,0,0,1,0.781129196,0.016410988,0.074962245,0.12670303,7.62E-04,1.32E-06,3.10E-05
NOM:,0,0,1,0.910856847,0.061144901,8.10E-04,1.09E-04,0.013216536,1.86E-05,0.013844243
NOM:,0,0,1,0.995657844,9.33E-04,1.89E-04,5.45E-04,1.56E-04,1.69E-04,0.002351458
NOM:,0,0,1,0.951070783,0.044952469,5.31E-04,8.43E-04,4.48E-04,0.002153658,1.93E-07
NOM:,0,0,1,0.999110123,2.51E-04,2.02E-06,1.14E-05,5.86E-04,8.75E-06,3.08E-05
NOM:,0,0,1,0.985995566,1.97E-05,4.84E-05,1.08E-05,0.00618226,0.007736491,6.80E-06
NOM:,6,6,1,8.34E-08,1.55E-06,7.37E-07,1.87E-06,5.23E-08,2.33E-08,0.999995693
NOM:,6,6,1,1.83E-08,4.08E-09,8.47E-09,6.53E-08,1.05E-09,7.80E-10,0.999999902
NOM:,6,6,1,0.005388484,0.040840729,3.67E-05,5.77E-05,0.209908025,1.48E-04,0.743620109
NOM:,6,6,1,2.58E-05,0.002941782,9.48E-05,2.34E-04,9.95E-06,1.40E-05,0.99668006
NOM:,6,6,1,7.25E-06,8.49E-06,2.68E-06,4.04E-06,3.16E-06,2.38E-07,0.999974139
NOM:,6,6,1,1.12E-05,5.44E-06,6.57E-07,2.53E-06,6.23E-09,1.02E-08,0.999980198
NOM:,6,6,1,4.15E-05,2.79E-05,2.47E-05,4.69E-06,2.29E-05,1.58E-06,0.99987684
NOM:,6,4,1,0.003729406,0.006428037,1.03E-05,3.61E-04,0.942812791,2.68E-04,0.04639087
NOM:,6,6,1,0.032857124,0.025643897,0.006804554,0.049222512,0.002596243,0.002311014,0.880564656
NOM:,6,6,1,5.17E-06,4.74E-07,6.57E-08,6.87E-07,1.16E-09,2.85E-09,0.999993596
NOM:,6,6,1,1.85E-06,6.66E-06,1.23E-05,2.80E-05,7.55E-07,6.73E-08,0.999950433
NOM:,6,4,1,0.004402457,0.041126511,2.36E-05,3.60E-07,0.935556291,0.011178454,0.00771233
NOM:,6,6,1,6.78E-04,0.026296179,6.11E-04,0.005968626,0.003096408,1.03E-06,0.963348156
NOM:,6,6,1,4.85E-07,4.08E-06,1.02E-07,4.75E-08,1.70E-08,1.29E-08,0.999995253
NOM:,6,6,1,0.002049492,0.12024736,0.001080215,0.067614186,4.82E-04,9.03E-05,0.808436741
NOM:,6,6,1,7.36E-06,9.11E-06,5.32E-06,5.97E-04,1.83E-05,8.10E-08,0.999363208
NOM:,6,6,1,1.07E-07,4.33E-06,9.14E-07,1.36E-05,7.22E-09,4.69E-09,0.999981011
NOM:,6,6,1,1.99E-08,1.84E-07,5.60E-09,8.53E-08,1.14E-08,3.21E-09,0.999999691
NOM:,6,6,1,0.001238887,3.72E-06,4.06E-06,3.49E-06,1.07E-07,1.07E-05,0.998738994
NOM:,6,6,1,1.00E-06,1.05E-04,6.58E-06,1.06E-05,5.27E-07,1.34E-07,0.999876062
NOM:,6,6,1,0.019470916,0.011787168,4.76E-05,2.85E-04,0.019845387,4.11E-05,0.948522925
NOM:,6,6,1,9.64E-07,1.64E-07,1.08E-08,2.00E-07,2.83E-09,3.65E-09,0.999998656
NOM:,6,6,1,1.16E-05,7.41E-06,7.50E-07,1.33E-06,1.76E-05,1.22E-07,0.99996115
NOM:,6,6,1,4.51E-07,4.96E-07,2.25E-08,1.87E-08,1.27E-08,1.94E-08,0.99999898
NOM:,6,6,1,5.62E-07,2.45E-07,1.19E-05,6.34E-05,9.36E-08,1.12E-07,0.999923674
NOM:,2,2,1,4.25E-04,4.39E-04,0.997443546,0.00161651,7.51E-05,1.37E-06,3.60E-07
NOM:,2,2,1,8.43E-07,7.47E-05,0.999738972,1.65E-04,2.06E-05,1.98E-08,2.15E-07
NOM:,2,2,1,1.32E-05,0.00322035,0.981570027,0.015183679,1.22E-05,1.73E-08,4.75E-07
NOM:,2,2,1,2.60E-08,0.002003906,0.995692634,0.002303371,3.26E-08,7.54E-09,2.24E-08
NOM:,2,3,1,0.003257857,0.00192075,0.053103982,0.941147431,5.69E-04,2.87E-07,1.15E-06
NOM:,2,2,1,5.84E-04,0.016671756,0.967036584,0.002404982,5.84E-04,3.74E-05,0.012680926
NOM:,2,2,1,1.54E-06,0.117250473,0.881757707,9.90E-04,4.96E-08,3.50E-08,5.59E-08
NOM:,2,2,1,8.57E-09,0.002307266,0.997496388,1.96E-04,7.77E-08,3.40E-09,4.83E-08
NOM:,2,2,1,5.00E-08,3.62E-04,0.999390258,2.47E-04,1.73E-07,2.15E-08,4.19E-08
NOM:,2,3,1,2.76E-05,0.002249028,0.438008154,0.558316285,3.18E-04,6.27E-08,0.001081064
NOM:,2,2,1,4.74E-09,2.85E-04,0.999711841,3.14E-06,5.51E-09,1.13E-08,1.62E-08
NOM:,2,2,1,0.006161433,0.203912302,0.787433483,0.002480688,5.46E-06,5.53E-06,1.10E-06
NOM:,2,2,1,6.87E-04,0.028696665,0.954109296,0.016462691,1.26E-05,1.40E-06,3.04E-05
NOM:,2,2,1,1.70E-04,0.028240668,0.91399963,0.057406725,3.57E-05,2.25E-06,1.45E-04
NOM:,2,2,1,0.003938582,0.077935432,0.906698576,0.011422038,2.97E-06,2.29E-08,2.37E-06
NOM:,2,2,1,2.67E-05,0.008893484,0.967241558,0.023834948,1.29E-06,2.89E-08,2.03E-06
NOM:,2,2,1,8.16E-08,0.059037035,0.940932307,2.96E-05,7.55E-07,2.81E-08,1.57E-07
NOM:,2,2,1,9.22E-05,0.003124464,0.987098187,0.009680464,4.47E-06,5.31E-08,1.49E-07
NOM:,2,2,1,1.27E-06,0.117741612,0.881863271,3.94E-04,1.12E-08,2.08E-08,2.40E-08
NOM:,2,2,1,4.06E-07,0.002772969,0.987793479,0.009432014,3.14E-07,2.98E-09,8.15E-07
NOM:,2,2,1,2.18E-04,0.026020659,0.956516083,0.011040386,0.006104927,5.19E-06,9.49E-05
NOM:,2,2,1,2.94E-05,0.103514383,0.888094301,0.007839093,5.17E-04,7.49E-07,4.66E-06
NOM:,2,2,1,5.07E-06,0.039197291,0.91802741,0.042759849,1.62E-06,2.36E-07,8.53E-06
NOM:,2,2,1,2.00E-07,3.33E-05,0.999945714,1.94E-05,1.12E-06,1.08E-07,8.88E-08
NOM:,2,2,1,3.45E-08,0.002079088,0.997589521,3.31E-04,6.26E-09,3.21E-09,6.29E-07
NOM:,3,2,1,9.05E-04,0.0745428,0.866159949,0.058383714,3.41E-06,2.78E-06,2.59E-06
NOM:,3,3,1,3.32E-06,1.17E-04,7.98E-04,0.999042107,2.78E-05,7.92E-09,1.21E-05
NOM:,3,3,1,9.37E-05,3.42E-04,0.005648927,0.993651307,2.45E-04,1.52E-08,1.98E-05
NOM:,3,3,1,3.53E-08,4.27E-05,0.002955345,0.997001287,4.13E-07,3.79E-09,2.37E-07
NOM:,3,3,1,3.58E-07,9.41E-05,2.18E-04,0.999644518,1.44E-06,1.89E-06,3.98E-05
NOM:,3,3,1,4.79E-04,3.72E-04,2.50E-04,0.994699611,0.003396573,1.45E-06,8.01E-04
NOM:,3,3,1,3.08E-05,1.75E-04,0.003005638,0.996788514,2.11E-07,1.05E-08,8.14E-08
NOM:,3,3,1,1.70E-06,2.08E-06,1.61E-05,0.99997611,3.54E-06,1.21E-09,4.35E-07
NOM:,3,3,1,1.00E-06,2.44E-04,0.019897163,0.979848344,1.49E-06,2.44E-06,5.82E-06
NOM:,3,3,1,9.66E-07,6.80E-07,1.24E-05,0.999984131,1.78E-06,1.70E-09,1.33E-08
NOM:,3,3,1,1.57E-07,3.20E-06,1.79E-04,0.999817051,3.35E-08,7.97E-10,1.17E-07
NOM:,3,1,1,2.45E-05,0.96902786,0.014104215,0.01603529,8.07E-04,3.16E-07,4.56E-07
NOM:,3,3,1,7.50E-06,3.22E-04,0.007662872,0.99187975,2.93E-05,1.86E-08,9.82E-05
NOM:,3,3,1,9.66E-05,0.029321485,0.048976911,0.918867733,0.001093482,2.86E-06,0.001640875
NOM:,3,3,1,3.43E-06,9.50E-06,1.63E-04,0.999380394,4.04E-04,6.16E-07,3.95E-05
NOM:,3,3,1,1.68E-07,2.76E-06,2.87E-05,0.999966404,1.68E-06,1.25E-08,2.68E-07
NOM:,3,3,1,3.32E-04,0.001082346,0.003353789,0.832867842,0.161832135,6.09E-06,5.26E-04
NOM:,3,1,1,2.93E-04,0.796664729,0.035280355,0.167654864,1.06E-04,5.28E-07,2.56E-07
NOM:,3,3,1,8.05E-05,2.61E-04,8.64E-04,0.987708149,0.007148952,6.10E-06,0.003930987
NOM:,3,3,1,4.10E-05,3.52E-04,0.032602541,0.961991428,0.005008552,1.21E-08,4.19E-06
NOM:,3,3,1,6.68E-08,0.001136908,0.053317543,0.945545259,3.43E-08,3.02E-08,1.60E-07
NOM:,3,3,1,9.85E-06,0.06353962,0.026548425,0.909888579,3.72E-07,1.37E-08,1.31E-05
NOM:,3,3,1,4.80E-05,3.84E-04,0.001990924,0.99750702,5.01E-05,2.67E-07,2.00E-05
NOM:,3,2,1,6.67E-05,0.290723103,0.448520273,0.260684007,1.25E-06,2.50E-06,2.16E-06
NOM:,3,3,1,2.48E-08,1.38E-05,0.004494393,0.995491042,1.34E-08,1.42E-10,7.11E-07
NOM:,3,3,1,4.95E-05,4.05E-04,7.14E-04,0.95037004,0.046561053,4.57E-05,0.001854787
NOM:,1,1,1,0.002771394,0.720385501,9.04E-04,0.266543152,1.94E-04,8.50E-05,0.009117457
NOM:,1,1,1,9.42E-07,0.999993768,2.71E-06,4.70E-07,6.52E-07,9.79E-07,4.81E-07
NOM:,1,1,1,0.191137697,0.503931438,0.304033005,3.52E-04,5.32E-04,9.34E-06,5.13E-06
NOM:,1,1,1,0.001495878,0.988837089,9.06E-04,4.27E-04,0.001028217,0.005576143,0.001729179
NOM:,1,1,1,1.66E-05,0.678108877,0.306417911,0.014869774,5.73E-04,1.42E-06,1.20E-05
NOM:,1,2,1,3.85E-06,0.261602058,0.730179268,0.008210668,3.91E-06,1.33E-07,1.15E-07
NOM:,1,1,1,3.34E-04,0.957985134,0.004107659,0.03675913,2.90E-04,1.58E-04,3.66E-04
NOM:,1,1,1,4.42E-05,0.992498578,4.38E-05,5.86E-05,0.00717528,1.77E-05,1.62E-04
NOM:,1,1,1,0.001750341,0.57930066,0.1362403,0.282656575,3.70E-05,9.78E-06,5.34E-06
NOM:,1,1,1,0.002730758,0.560344246,0.02531342,0.058504381,0.075131273,0.103777553,0.174198369
NOM:,1,1,1,1.34E-04,0.973026879,0.002542229,0.010458909,0.012542361,3.72E-04,9.23E-04
NOM:,1,6,1,7.82E-04,0.232247116,0.002834194,0.003605505,0.122745379,4.96E-04,0.637290062
NOM:,1,4,1,0.071740798,0.103564674,0.028922948,9.24E-05,0.794089355,0.001554589,3.53E-05
NOM:,1,1,1,0.00176733,0.561751498,4.74E-04,0.001402124,0.43364538,4.54E-04,5.06E-04
NOM:,1,1,1,1.25E-05,0.923531015,0.064367701,0.01208096,7.70E-07,1.58E-07,6.89E-06
