Cancer,seekactual,EMC,CancerSEEK,A1DE,nb,svm,knn,j48,RF,dntb,Fuzzy,Adaboost,DEEPL,EMCfea,,,,EMCc,Seek,a1dec,nb,svm,knn,j48,RF,dntb,fuzzy,adaboost,DeepLearing,EMCpfea
0,1,0.531,0.357,0.816,0,0,1,0.889,0.76,0.899,0,0.325,0.43,0,,,,1,1,1,0,0,1,1,1,1,0,0,0,0
0,1,0.032,0.622,0.007,0,0,1,0,0.69,0.197,0,0.717,0.649,0.661,,,,0,1,0,0,0,1,0,1,0,0,1,1,1
0,1,0.002,0.257,0.001,0,0,0.5,0,0.35,0.003,0,0.717,0.283,0,,,,0,1,0,0,0,1,0,0,0,0,1,0,0
0,1,0,0.182,0,0,0,0.5,0.042,0,0,0,0.069,0.21,0,,,,0,1,0,0,0,1,0,0,0,0,0,0,0
0,1,0.304,0.04,0.034,0,0,0,0.074,0.08,0.021,0,0.325,0.129,0.857,,,,0,1,0,0,0,0,0,0,0,0,0,0,1
0,1,0,0.195,0,0,0,0.5,0,0.06,0,0,0.427,0.307,0,,,,0,1,0,0,0,1,0,0,0,0,0,0,0
0,1,0.003,0.044,0.021,0,0,0,0.074,0.1,0.05,0,0.325,0.132,0,,,,0,1,0,0,0,0,0,0,0,0,0,0,0
0,1,0.593,0.271,0.875,0,0,1,0.074,0.68,0.865,0,0.325,0.43,0,,,,1,1,1,0,0,1,0,1,1,0,0,0,0
0,1,0,0.126,0,0,0,0,0.042,0.04,0,0,0.084,0.153,0,,,,0,1,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0.214,0,0,0,0,0.042,0.01,0,0,0.069,0.164,0,,,,0,1,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0.398,0,0,0,1,0,0.18,0,0,0.065,0.244,0,,,,0,1,0,0,0,1,0,0,0,0,0,0,0
0,1,0,0.237,0,0,0,0,0.1,0.18,0,0,0.084,0.207,0,,,,0,1,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0.367,0,0,0,0.5,0.071,0.36,0,0,0.115,0.265,0,,,,0,1,0,0,0,1,0,0,0,0,0,0,0
0,1,0.145,0.384,0.457,0,0,0.5,0.129,0.63,0.657,0,0.577,0.231,0.001,,,,0,1,0,0,0,1,0,1,1,0,1,0,0
0,1,0,0.398,0,0,0,0.5,0,0.21,0,1,0.568,0.377,0,,,,0,1,0,0,0,1,0,0,0,1,1,0,0
0,1,0,0.154,0,0,0,0,0.042,0,0,0,0.084,0.139,0,,,,0,1,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0.181,0,0,0,0,0,0.07,0,0,0.024,0.173,0,,,,0,1,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0.343,0.002,0,0,0,0.042,0.11,0.002,0,0.325,0.383,0,,,,0,1,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0.074,0,0,0,0,0.074,0.03,0,0,0.084,0.188,0,,,,0,1,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0.104,0,0,0,0.5,0.042,0,0,0,0.084,0.157,0,,,,0,1,0,0,0,1,0,0,0,0,0,0,0
0,1,0,0.122,0.198,0,0,0,0.1,0.04,0.004,0,0.084,0.129,0,,,,0,1,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0.111,0,0,0,0,0.1,0.05,0,0,0.084,0.114,0,,,,0,1,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0.037,0,0,0,0,0.074,0,0,0,0.084,0.113,0,,,,0,1,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0.027,0,0,0,0,0.074,0.03,0,0,0.084,0.088,0,,,,0,1,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0.083,0,0,0,0,0.042,0,0,0,0.084,0.108,0,,,,0,1,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0.245,0,0,0,0,0.042,0.01,0,0,0.069,0.253,0,,,,0,1,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0.095,0,0,0,0,0.042,0,0,0,0.024,0.121,0,,,,0,1,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0.074,0,0,0,0,0.042,0,0,0,0.024,0.119,0,,,,0,1,0,0,0,0,0,0,0,0,0,0,0
0,1,0.87,0.255,0.997,0,0,0,0.923,0.72,0.99,0,0.215,0.214,0.179,,,,0,1,1,0,0,0,1,1,1,0,0,0,0
0,1,0.22,0.564,0.267,0,0,1,0.984,0.65,0.339,1,0.83,0.408,0,,,,0,1,0,0,0,1,1,1,0,1,1,0,0
0,1,0,0.052,0,0,0,0,0.074,0.02,0,0,0.084,0.142,0,,,,0,1,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0.139,0.024,0,0,0,0.25,0.22,0.001,0,0.325,0.141,0,,,,0,1,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0.201,0,0,0,0.5,0.042,0.01,0,0,0.024,0.175,0,,,,0,1,0,0,0,1,0,0,0,0,0,0,0
0,1,0.002,0.169,0.003,1,0,0,0.1,0.26,0.039,0,0.084,0.18,0,,,,0,1,0,1,0,0,0,0,0,0,0,0,0
0,1,0,0.086,0,0,0,0,0.074,0.03,0,0,0.325,0.21,0,,,,0,1,0,0,0,0,0,0,0,0,0,0,0
0,1,0.766,0.514,0.807,0,1,0.5,0.984,0.89,0.941,1,0.83,0.495,0,,,,1,1,1,0,1,1,1,1,1,1,1,0,0
0,1,0.937,0.282,0.997,1,1,1,1,0.61,0.989,1,0.83,0.736,0.24,,,,1,1,1,1,1,1,1,1,1,1,1,1,0
0,1,0.002,0.236,0.005,0,0,1,0,0.12,0.013,1,0.568,0.32,0,,,,0,1,0,0,0,1,0,0,0,1,1,0,0
0,1,0,0.142,0,0,0,0,0,0.01,0,0,0.024,0.14,0,,,,0,1,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0.066,0,0,0,0.5,0.074,0,0,0,0.084,0.178,0,,,,0,1,0,0,0,1,0,0,0,0,0,0,0
0,1,0,0.191,0,0,0,0,0.1,0.01,0,0,0.084,0.185,0,,,,0,1,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0.147,0,0,0,0,0.042,0.01,0,0,0.084,0.141,0,,,,0,1,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0.078,0,0,0,0,0.074,0.01,0,0,0.024,0.144,0,,,,0,1,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0.048,0.007,0,0,0,0.074,0.01,0.006,0,0.084,0.148,0,,,,0,1,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0.384,0,0,0,0.5,0,0.21,0.001,1,0.481,0.374,0,,,,0,1,0,0,0,1,0,0,0,1,0,0,0
0,1,0.001,0.204,0.001,0,0,0.5,0.042,0.3,0.004,0,0.325,0.289,0.005,,,,0,1,0,0,0,1,0,0,0,0,0,0,0
0,1,0,0.164,0,0,0,0,0.083,0.24,0,1,0.481,0.345,0,,,,0,1,0,0,0,0,0,0,0,1,0,0,0
0,1,0,0.205,0,0,0,0,0.042,0,0,0,0.084,0.163,0,,,,0,1,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0.336,0,0,0,0,0.042,0.1,0,0,0.084,0.224,0,,,,0,1,0,0,0,0,0,0,0,0,0,0,0
1,1,0.997,0.422,0.997,0,0,0.5,0.968,0.64,0.999,0,0.963,0.473,1,,,,1,1,1,0,0,1,1,1,1,0,1,0,1
1,1,0.319,0.39,0.198,0,0,0,0.1,0.14,0.004,0,0.084,0.281,0.983,,,,1,1,0,0,0,0,0,0,0,0,0,0,1
1,1,1,0.999,1,1,1,1,0.99,1,1,1,0.967,0.998,1,,,,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,0.99,1,1,1,0.994,0.972,1,,,,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,0.998,0.361,0.977,0,1,0.5,0.823,0.52,0.999,1,0.83,0.486,1,,,,1,1,1,0,1,1,1,1,1,1,1,0,1
1,1,1,1,1,1,1,1,0.99,1,1,0,0.967,1,1,,,,1,1,1,1,1,1,1,1,1,0,1,1,1
1,1,1,0.547,1,0,0,0.5,1,0.87,1,1,0.427,0.408,1,,,,1,1,1,0,0,1,1,1,1,1,0,0,1
1,1,1,0.991,0.999,1,1,1,1,0.92,1,1,0.874,0.986,1,,,,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,0.835,1,0,1,1,0.083,0.77,1,1,0.481,0.752,1,,,,1,1,1,0,1,1,0,1,1,1,0,1,1
1,1,1,0.779,1,0,0,0.5,0.85,0.95,1,0,0.938,0.384,1,,,,1,1,1,0,0,1,1,1,1,0,1,0,1
1,1,0.994,0.693,0.936,0,1,1,0,0.58,0.995,0,0.326,0.695,1,,,,1,1,1,0,1,1,0,1,1,0,0,1,1
1,1,1,0.188,1,0,0,0,1,0.65,0.981,0,0.215,0.227,1,,,,1,1,1,0,0,0,1,1,1,0,0,0,1
1,1,0.995,0.996,0.995,1,1,1,0.917,0.8,0.995,1,0.83,0.818,0.947,,,,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,0.996,1,1,1,1,1,0.96,1,1,0.83,0.985,1,,,,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,0.788,0.974,0,0,0,0.85,0.71,0.999,0,0.62,0.188,1,,,,1,1,1,0,0,0,1,1,1,0,1,0,1
1,1,0.75,0.171,0.791,0,0,0.5,0.211,0.32,0.777,0,0.83,0.289,1,,,,1,1,1,0,0,1,0,0,1,0,1,0,1
1,1,1,0.986,1,1,1,1,0.99,1,1,1,0.967,0.965,1,,,,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,0.99,0.99,1,1,0.976,0.998,1,,,,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,0.998,1,1,1,1,0.823,0.96,1,1,0.83,0.997,1,,,,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,0.999,0.469,0.998,1,0,0,0.129,0.75,0.998,0,0.325,0.36,1,,,,1,1,1,1,0,0,0,1,1,0,0,0,1
1,1,1,1,1,1,1,1,0.99,1,1,1,0.994,1,1,,,,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,0.998,1,1,1,1,1,0.97,1,1,0.963,0.997,1,,,,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,0.963,1,1,,,,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,0.995,0.975,0.998,1,0,1,0.99,0.9,0.988,1,0.847,0.435,1,,,,1,1,1,1,0,1,1,1,1,1,1,0,1
1,1,0.999,0.835,0.986,0.001,0,0,0.85,0.8,1,0,0.896,0.242,1,,,,1,1,1,0,0,0,1,1,1,0,1,0,1
1,1,1,1,1,1,1,1,1,0.98,1,0,0.83,1,1,,,,1,1,1,1,1,1,1,1,1,0,1,1,1
1,1,1,0.986,1,1,1,1,1,1,1,1,0.83,0.997,1,,,,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,0.959,1,1,1,0.5,1,0.92,1,0,0.717,0.965,1,,,,1,1,1,1,1,1,1,1,1,0,1,1,1
1,1,0.999,0.552,0.997,0,0,0,1,0.83,0.996,0,0.717,0.529,1,,,,1,1,1,0,0,0,1,1,1,0,1,1,1
1,1,1,0.989,1,1,1,1,0.99,0.96,1,1,0.967,0.957,1,,,,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,0.998,0.812,0.993,0.005,1,1,1,0.97,1,0,0.717,0.736,1,,,,1,1,1,0,1,1,1,1,1,0,1,1,1
1,1,1,0.999,0.992,1,0,0.5,0.99,0.89,1,1,0.847,0.514,1,,,,1,1,1,1,0,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,0.94,1,1,0.963,1,1,,,,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,0.998,1,1,0,0.5,0.99,0.95,1,1,0.742,0.495,1,,,,1,1,1,1,0,1,1,1,1,1,1,0,1
1,1,1,1,1,1,1,1,1,0.98,1,1,0.963,0.999,1,,,,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,0.896,0.996,0.002,1,1,1,1,0.998,1,0.963,0.852,1,,,,1,1,1,0,1,1,1,1,1,1,1,1,1
1,1,0.999,0.916,0.987,1,1,0.5,0.211,0.78,0.989,1,0.83,0.883,1,,,,1,1,1,1,1,1,0,1,1,1,1,1,1
1,1,1,0.997,0.997,1,1,1,1,0.81,1,0,0.59,0.996,1,,,,1,1,1,1,1,1,1,1,1,0,1,1,1
1,1,0.985,0.61,0.926,0,0,0,1,0.71,0.972,1,0.83,0.452,1,,,,1,1,1,0,0,0,1,1,1,1,1,0,1
1,1,1,0.959,1,1,1,1,1,0.92,1,1,0.963,0.992,1,,,,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,0.99,1,1,0,0.967,0.988,1,,,,1,1,1,1,1,1,1,1,1,0,1,1,1
1,1,1,1,0.999,1,0,1,0.85,0.92,1,0,0.353,0.923,1,,,,1,1,1,1,0,1,1,1,1,0,0,1,1
1,1,1,1,1,1,1,1,1,0.97,1,0,0.963,1,1,,,,1,1,1,1,1,1,1,1,1,0,1,1,1
1,1,1,0.997,1,1,1,1,0.99,1,1,1,0.967,1,1,,,,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,0.989,0.996,0.997,1,0,1,0.85,0.95,0.998,0,0.938,0.665,1,,,,1,1,1,1,0,1,1,1,1,0,1,1,1
1,1,1,0.51,0.998,0,0,0.5,0.984,0.89,1,1,0.83,0.569,1,,,,1,1,1,0,0,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,0.98,1,1,0.963,1,1,,,,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,0.99,1,0.992,1,1,0.99,1,1,1,0.938,0.888,1,,,,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,0.996,1,0.986,1,1,1,1,0.89,0.997,1,0.963,1,0.986,,,,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,0.967,0.999,0.984,1,1,0.823,0.98,1,1,0.83,0.926,1,,,,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,0.999,1,1,1,1,0.99,1,1,1,0.967,0.983,1,,,,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,0.875,1,0,1,1,0.984,0.95,1,1,0.963,0.84,1,,,,1,1,1,0,1,1,1,1,1,1,1,1,1
1,1,0.977,0.249,0.618,0,0,0,1,0.58,0.998,0,0.325,0.214,1,,,,1,1,1,0,0,0,1,1,1,0,0,0,1
1,1,1,0.999,1,1,1,1,0.85,0.97,1,0,0.938,0.983,1,,,,1,1,1,1,1,1,1,1,1,0,1,1,1
1,1,1,0.973,1,0.7,1,0.5,0.99,0.98,1,1,0.989,0.732,1,,,,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,0.982,0.809,0.989,0,0,1,0.99,0.98,0.998,1,0.994,0.581,1,,,,1,1,1,0,0,1,1,1,1,1,1,1,1
1,1,1,0.817,0.994,0,1,0.5,1,0.61,0.996,1,0.735,0.754,1,,,,1,1,1,0,1,1,1,1,1,1,1,1,1
1,1,1,0.999,1,1,1,1,0.85,0.99,1,0,0.938,0.996,1,,,,1,1,1,1,1,1,1,1,1,0,1,1,1
1,1,0.097,0.071,0.056,0,0,0,0.074,0.13,0.024,0,0.325,0.192,0.932,,,,0,1,0,0,0,0,0,0,0,0,0,0,1
1,1,1,0.996,1,1,1,1,1,1,1,1,0.83,1,1,,,,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,0.999,0.956,0.998,0,1,1,1,0.97,1,1,0.963,0.93,1,,,,1,1,1,0,1,1,1,1,1,1,1,1,1
1,1,1,0.934,0.999,0.998,1,1,1,0.97,1,1,0.963,0.942,1,,,,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,0.938,0.68,0.947,0,1,1,0.984,0.91,1,1,0.963,0.597,1,,,,1,1,1,0,1,1,1,1,1,1,1,1,1
1,1,1,0.843,1,1,1,1,1,0.93,1,1,0.83,0.935,1,,,,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,0.994,0.176,0.996,0,0,0,0.074,0.32,0.998,0,0.325,0.264,1,,,,1,1,1,0,0,0,0,0,1,0,0,0,1
1,1,1,0.409,1,0,0,0,0.057,0.49,0.997,0,0.069,0.346,1,,,,1,1,1,0,0,0,0,0,1,0,0,0,1
1,1,1,0.712,1,1,0,0.5,0.85,0.86,1,0,0.742,0.468,1,,,,1,1,1,1,0,1,1,1,1,0,1,0,1
1,1,1,0.984,1,1,1,1,1,0.96,1,1,0.963,0.991,1,,,,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,0.999,0.919,0.997,1,0,1,0.85,0.96,0.998,0,0.938,0.66,1,,,,1,1,1,1,0,1,1,1,1,0,1,1,1
1,1,0.982,1,0.937,1,1,1,0.85,0.71,1,1,0.938,1,1,,,,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,0.964,1,1,1,0.5,1,0.73,1,1,0.874,0.89,1,,,,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,0.953,1,1,1,1,1,0.97,1,1,0.963,0.981,1,,,,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,0.398,0.984,0.011,0,0,0.923,0.65,1,0,0.325,0.55,0.999,,,,1,1,1,0,0,0,1,1,1,0,0,1,1
1,1,1,0.994,0.999,0.02,1,1,0.99,0.97,1,1,0.994,0.747,1,,,,1,1,1,0,1,1,1,1,1,1,1,1,1
1,1,1,0.988,1,1,1,1,0.99,0.98,1,1,0.933,0.978,1,,,,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,0.85,0.99,1,0,0.938,1,1,,,,1,1,1,1,1,1,1,1,1,0,1,1,1
1,1,0.985,0.7,0.86,0,1,1,0.823,0.87,0.969,1,0.83,0.705,1,,,,1,1,1,0,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,0.99,0.99,1,0,0.994,1,1,,,,1,1,1,1,1,1,1,1,1,0,1,1,1
1,1,0.999,0.95,1,1,0,0,0.99,0.89,1,1,0.847,0.418,1,,,,1,1,1,1,0,0,1,1,1,1,1,0,1
1,1,0.999,0.221,0.998,0,0,0.5,0.968,0.77,0.998,1,0.83,0.424,1,,,,1,1,1,0,0,1,1,1,1,1,1,0,1
1,1,1,0.721,1,1,1,1,1,0.91,1,1,0.83,0.935,1,,,,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,0.984,0.318,0.971,0,0,0.5,0.823,0.78,0.976,1,0.83,0.351,1,,,,1,1,1,0,0,1,1,1,1,1,1,0,1
1,1,1,1,1,1,1,1,0.99,1,1,1,0.994,1,1,,,,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,0.971,1,1,1,1,0.99,0.97,1,1,0.933,0.965,1,,,,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,0.992,1,0.986,1,0,0.5,0.85,0.82,1,0,0.896,0.486,1,,,,1,1,1,1,0,1,1,1,1,0,1,0,1
1,1,0.996,0.373,0.981,1,0,1,0.823,0.69,0.994,1,0.83,0.457,1,,,,1,1,1,1,0,1,1,1,1,1,1,0,1
1,1,1,1,1,1,1,1,1,1,1,1,0.83,1,1,,,,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,0.999,0.11,1,0,0,0,0.1,0.29,0.995,0,0.325,0.144,1,,,,1,1,1,0,0,0,0,0,1,0,0,0,1
1,1,0.99,0.972,0.992,0.997,0,0.5,0.99,0.92,0.736,1,0.847,0.37,1,,,,1,1,1,1,0,1,1,1,1,1,1,0,1
1,1,0.988,0.61,0.905,0,0,0,1,0.69,0.967,1,0.83,0.404,1,,,,1,1,1,0,0,0,1,1,1,1,1,0,1
1,1,0.996,0.283,0.998,0,0,0,0.1,0.26,0.925,0,0.084,0.309,1,,,,1,1,1,0,0,0,0,0,1,0,0,0,1
1,1,1,1,0.999,1,1,1,0.99,1,1,1,0.994,1,1,,,,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,0.519,1,0,0,0,0.99,0.95,0.999,1,0.943,0.301,0.984,,,,1,1,1,0,0,0,1,1,1,1,1,0,1
1,1,0.999,0.998,0.999,1,1,1,0.823,0.74,1,1,0.963,0.994,1,,,,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,0.996,0.178,0.968,0,0,0,0.889,0.39,0.994,0,0.325,0.179,1,,,,1,1,1,0,0,0,1,0,1,0,0,0,1
1,1,0.998,0.422,0.999,1,0,0,0.85,0.84,0.999,0,0.742,0.33,1,,,,1,1,1,1,0,0,1,1,1,0,1,0,1
1,1,0.983,0.275,0.952,0,0,0,1,0.59,0.884,0,0.59,0.252,1,,,,1,1,1,0,0,0,1,1,1,0,1,0,1
1,1,1,1,1,1,1,0.5,0.99,0.99,1,1,0.967,0.846,1,,,,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,0.999,1,1,1,1,0.99,0.97,1,1,0.967,0.986,1,,,,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,0.999,1,0.997,1,0,1,0.99,0.99,1,1,0.967,0.724,1,,,,1,1,1,1,0,1,1,1,1,1,1,1,1
0,1,0,0.443,0.06,0,0,0.5,0.889,0.29,0.047,1,0.473,0.372,0,,,,0,1,0,0,0,1,1,0,0,1,0,0,0
0,1,0.531,0.23,1,0,0,0,0.026,0.76,1,0,0.609,0.207,0.79,,,,0,1,1,0,0,0,0,1,1,0,1,0,1
0,1,0,0.103,0,0,0,0.5,0,0.12,0,0,0.022,0.256,0,,,,0,1,0,0,0,1,0,0,0,0,0,0,0
0,1,0,0.156,0,0,0,0.5,0,0,0,0,0.022,0.186,0,,,,0,1,0,0,0,1,0,0,0,0,0,0,0
0,1,0,0.233,0,0,0,0.5,0.111,0.03,0,1,0.182,0.266,0,,,,0,1,0,0,0,1,0,0,0,1,0,0,0
0,1,0.001,0.376,0.001,0,1,1,0.071,0.39,0.007,1,0.821,0.58,0,,,,0,1,0,0,1,1,0,0,0,1,1,1,0
0,1,0,0.327,0.001,0,0,0.5,0.074,0.32,0,0,0.316,0.375,0,,,,0,1,0,0,0,1,0,0,0,0,0,0,0
0,1,0,0.074,0,1,0,0.5,0.026,0.07,0,1,0.083,0.232,0,,,,0,1,0,1,0,1,0,0,0,1,0,0,0
0,1,0.001,0.333,0,0,0,1,0.071,0.26,0.001,1,0.821,0.366,0,,,,0,1,0,0,0,1,0,0,0,1,1,0,0
0,1,0.873,0.619,1,0,1,1,1,0.88,1,1,0.733,0.564,0.595,,,,1,1,1,0,1,1,1,1,1,1,1,1,1
0,1,0,0.256,0,0,0,0,0,0.05,0,0,0.083,0.264,0,,,,0,1,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0.198,0,0,0,0,0,0.1,0,0,0.533,0.268,0,,,,0,1,0,0,0,0,0,0,0,0,1,0,0
